Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.78337E-5,2.500780237,0.029572587,0.124517747,0.005128205,0
4.30924E-5,2.750272567,0.033545146,0.118537809,0.005128205,0
4.97929E-5,3.000845408,0.038559997,0.113329475,0.005128205,0
5.63285E-5,3.254684861,0.043401566,0.108699846,0.007692308,0
6.45224E-5,3.500478263,0.049403105,0.10474537,0.01025641,0
7.05237E-5,3.755199353,0.053751193,0.101080247,0.015384615,0
7.57844E-5,4.003301827,0.057530052,0.097800926,0.015384615,0
8.21633E-5,4.256981275,0.062071906,0.094714506,0.015384615,0
8.89337E-5,4.505026253,0.066844803,0.091917438,0.017948718,0
9.60897E-5,4.754779946,0.071837076,0.089313272,0.017948718,0
1.03626E-4,5.004882044,0.077037137,0.086902006,0.017948718,0
1.12025E-4,5.253369004,0.082764101,0.084683642,0.020512821,0
1.19949E-4,5.507490623,0.088102885,0.082561728,0.020512821,0
1.25524E-4,5.754056977,0.091821608,0.080632716,0.020512821,0
1.34599E-4,6.000577357,0.097810515,0.078800154,0.023076923,0
1.45807E-4,6.253347555,0.105099708,0.077064043,0.030769231,0
1.54725E-4,6.507328525,0.110815119,0.075424383,0.038461538,0
1.63256E-4,6.760904775,0.116215382,0.073881173,0.041025641,0
1.71927E-4,7.013945531,0.121636688,0.072434414,0.041025641,0
1.81545E-4,7.261098379,0.127573348,0.071084105,0.041025641,0
1.91578E-4,7.504532771,0.133681196,0.069830247,0.043589744,0
1.9857E-4,7.757826617,0.137887663,0.068576389,0.043589744,0
2.09075E-4,8.001956886,0.144130565,0.067418981,0.043589744,0
2.23688E-4,8.261572728,0.152667005,0.066261574,0.046153846,0
2.30567E-4,8.510585248,0.156626154,0.065200617,0.048717949,0
2.4398E-4,8.77264335,0.164241251,0.06413966,0.048717949,0
2.54887E-4,9.022207138,0.170333113,0.063175154,0.053846154,0
2.66628E-4,9.257305996,0.176792057,0.062307099,0.056410256,0
2.76758E-4,9.502501373,0.182284715,0.061439043,0.061538462,0
2.94537E-4,9.759192631,0.191749332,0.060570988,0.064102564,0
3.04992E-4,10.029745933,0.197213086,0.059702932,0.066666667,0
3.19462E-4,10.281191892,0.204654749,0.058931327,0.069230769,0
3.28828E-4,10.507739925,0.209398687,0.058256173,0.069230769,0
3.51885E-4,10.783451999,0.22083894,0.057484568,0.071794872,0
3.65315E-4,11.034592143,0.227351189,0.056809414,0.071794872,0
3.83069E-4,11.260348685,0.235795094,0.05623071,0.071794872,0
3.96934E-4,11.533914243,0.24226161,0.055555556,0.074358974,0
4.08639E-4,11.77687685,0.247636445,0.054976852,0.074358974,0
4.21854E-4,12.028040091,0.253613979,0.054398148,0.074358974,0
4.36217E-4,12.285525408,0.260003681,0.053819444,0.074358974,0
4.42029E-4,12.505271417,0.262558594,0.053337191,0.074358974,0
4.62066E-4,12.779313283,0.271231855,0.052758488,0.079487179,0
4.68104E-4,13.012502242,0.273805732,0.052276235,0.082051282,0
4.74991E-4,13.295552923,0.276719608,0.051697531,0.084615385,0
4.96824E-4,13.53878653,0.285803719,0.051215278,0.08974359,0
5.01488E-4,13.78841043,0.287714866,0.050733025,0.092307692,0
5.13185E-4,14.043266281,0.292462728,0.050250772,0.094871795,0
5.22919E-4,14.251438276,0.296366186,0.049864969,0.097435897,0
5.31168E-4,14.515731528,0.299640521,0.049382716,0.097435897,0
5.35674E-4,14.78280738,0.301416126,0.048900463,0.1,0
5.55345E-4,15.000631584,0.309063846,0.04851466,0.1,0
5.72776E-4,15.283959538,0.315702146,0.048032407,0.105128205,0
5.81728E-4,15.514970467,0.319061794,0.047646605,0.11025641,0
5.95761E-4,15.752887916,0.324262863,0.047260802,0.112820513,0
6.14662E-4,16.055983124,0.331143661,0.046778549,0.115384615,0
